#,Where,Ask,Why,Priority
1,Export,Add the pay rate to the export,"Send the $/hr each job was paid at. Payroll divides pay by hours to guess it today, and two jobs can pay the same but be different rates.",High
2,Platform,Work out mileage instead of letting someone type it,"Pay only the miles above 40 on a round trip. Done by hand in August, seven claims were paid for the whole drive - $212.80 too much.",High
3,Export,Add what a reimbursement was for,"A type (parking, supplies, tolls) and a note. Fourteen reimbursements in August with no description, so every one gets checked by hand.",High
4,Export,Add a caregiver ID,"Payroll matches caregivers by name today, so a married name or a stray space splits one person into two. Use the same ID as their OnPay Clock User.",High
5,Platform,"Mileage field at check-out, Care.com jobs only",One box for round trip miles. On any other kind of job the box should not appear at all.,High
6,Platform,Show the caregiver the maths as they type,"Round trip 54 miles, paid for 14, reimbursement $10.64. The mileage request form already does this.",High
7,Platform,Tell caregivers 50 miles needs no approval,"""You can always claim up to 50 miles."" Stops people under-claiming because they are unsure of the policy.",High
8,Platform,Somewhere to record that Care.com approved a long drive,"Over 50 miles needs approval and nothing captures the answer. Store approved / denied, the miles agreed, and the email or screenshot.",Medium
9,Export,Let a tip be recorded before a job is marked paid,"Tips only land on rows already marked paid, so a finished job shows a blank tip whether or not there was one.",Medium
10,Export,Split hours worked from hours paid,The 4-hour minimum is invisible: a 3.75-hour job pays $92 and nothing says why. Matters because those extra hours do not count toward overtime.,Medium
11,Export,Keep blank different from zero,"Tip is blank on 182 rows and ""0.00"" on 117. Blank should mean nobody asked; 0 should mean there wasn't one.",Medium
12,Export,Add the Care.com job number,"The mileage form asks for it (starts with 5) but it is not in the export, so nothing ties a mileage request back to its job.",Medium
13,Export,Add a test flag,"Booking 15245, client ""Test Test"", carries $92 of caregiver pay. A flag lets payroll skip it while invoicing keeps what it needs.",Low
14,Export,Export numbers as numbers,"Money, hours and dates all come out as text right now.",Low
