Rank,Severity (re-rated),Ref #,Reviewer,Page / Area,Issue (composited),Type,Sheet Status,Notes / Verification,Amy's Comments,Fix Status
8/22,High,,Amy,Bookings export,"The export doesn't tell us the hourly rate a job was paid at - just the total. Payroll has to divide pay by hours to work out whether it was $23 or $28, and a 4-hour job can come to the same total either way, so it can't always tell. Can we add pay_rate and pay_tier to the export? Sitterwise already knows both when it prices the job.",Request,,,,Open
8/22,High,,Amy,Mileage / check-out,"Mileage is being paid for the whole drive instead of only the miles above 40. All seven Care.com claims in August were over by exactly 40 miles' worth - $212.80 for the month. The Cognito form already calculates it correctly, so it's the number landing on the booking that's wrong. Can the platform work out payable miles itself (round trip minus 40, times the rate) rather than someone typing an amount?",Bug,,,,Open
8/22,High,,Amy,Bookings export,"We record what a reimbursement was for, but it doesn't come through on the export - 14 reimbursements in August with no description. Payroll can't tell parking from mileage, so every one gets checked by hand. Can we add a reimbursement type (parking, supplies, tolls, other) and a description to the export?",Request,,,,Open
8/22,High,,Amy,Caregiver record / export,"Payroll matches caregivers by name right now, so a married name or an extra space splits one person into two paychecks. Can we add a stable caregiver ID to the export, and a field for their OnPay Clock User so the two systems match on an ID instead of a spelling?",Request,,,,Open
8/22,High,,Amy,Check-out (Care.com jobs),There's nowhere for a caregiver to enter mileage when they close out a Care.com job. Can we add a round trip miles box that only appears on Care.com jobs? On every other kind of job it shouldn't be there at all - if someone claims mileage on a regular 4-hour job it can wipe out our whole commission.,Request,,,,Open
8/22,High,,Amy,Check-out (Care.com jobs),"When they enter the miles, can it show them the maths the way the mileage request form already does? Round trip 54 miles, paid for 14 miles, reimbursement $10.64. Then nobody is surprised by what turns up in their pay.",Request,,,,Open
8/22,High,,Amy,Check-out (Care.com jobs),"Caregivers don't always know they can claim without asking us first, so some probably claim nothing. Can we put wording on the check-out screen saying: You can always claim up to 50 miles. Anything up to a 50-mile round trip is reimbursed automatically, no form needed. Driving further? Send a mileage request before the job. If it isn't approved in time we'll still pay you for 50 miles.",Request,,,,Open
8/22,Medium,,Amy,Booking / admin,"When a drive is over 50 miles it goes to Saudia at Care.com on the Cognito form, but her answer never comes back into Sitterwise - so we can't tell an approved claim from an unapproved one. Can we add one field on the booking for approved miles that we fill in when she replies? Check-out would use it to raise the 50-mile cap, and payroll would read it as the approval.",Request,,,,Open
8/22,Medium,,Amy,Bookings export,"Tips only get recorded once a job is marked paid, so a finished job shows a blank tip whether there was one or not. Can a tip be entered before the job is closed out?",Request,,,,Open
8/22,Medium,,Amy,Bookings export,"The 4-hour minimum doesn't show up anywhere - a 3.75-hour job pays $92 and nothing says why. Can we export hours worked and hours paid separately, plus a flag for when the minimum kicked in? It matters because those extra hours are paid but not worked, so under California law they don't count toward overtime.",Request,,,,Open
8/22,Medium,,Amy,Bookings export,"Tip is blank on 182 rows and ""0.00"" on 117, and payroll can't tell those apart. Can blank mean nobody asked, and 0 mean there wasn't one?",Request,,,,Open
8/22,Medium,,Amy,Bookings export,"The Care.com job number (the one starting with 5) isn't in the export, so there's no way to tie a mileage request back to the booking it belongs to - the Cognito form is keyed on that number. Can we add it to Care.com bookings and to the export?",Request,,,,Open
8/22,Low,,Amy,Bookings export,"Booking 15245, client ""Test Test"", comes through with $92 of caregiver pay on it. Can we add a test flag so payroll can skip those? It should stay in the export - invoicing may still need it.",Request,,,,Open
8/22,Low,,Amy,Bookings export,"Everything in the export comes out as text, including money, hours and dates. Can those come through as real numbers and dates?",Request,,,,Open
